trial,val_loss,state,loss,gamma,lr,dropout,wd,het_weight,entropy_alpha,label_smoothing
0,3.4996,COMPLETE,ce,,0.0003,0.05,0.1,0.2543675421699019,0.3,0.1
1,3.4564,COMPLETE,focal,4.0,0.0005,0.0,0.001,0.033827296327555496,0.1,0.05
2,3.6204,COMPLETE,focal,5.0,0.0001,0.1,0.1,0.054499943643321024,0.0,0.1
3,3.5867,COMPLETE,ce,,0.0001,0.0,0.001,0.07318582992259369,0.3,0.1
4,3.4798,COMPLETE,ce,,0.0005,0.0,0.1,0.06774815216623249,0.2,0.1
5,inf,FAIL,focal,4.0,0.0001,0.05,0.001,0.16178687576916648,0.3,0.0
6,3.7000,PRUNED,ce,,0.0003,0.05,0.01,0.4960490132585963,0.1,0.1
7,3.7540,PRUNED,focal,4.0,0.0003,0.05,0.1,0.018221341334633646,0.1,0.05
8,inf,FAIL,focal,6.0,0.0003,0.05,0.001,0.016986358511173708,0.2,0.0
9,3.4886,COMPLETE,focal,2.0,0.0005,0.0,0.001,0.26307898580225864,0.0,0.1
10,3.3981,COMPLETE,ce,,0.0005,0.1,0.001,0.02540723427559393,0.2,0.0
11,4.0708,PRUNED,focal,9.0,0.0001,0.1,0.001,0.13592881420785,0.0,0.05
12,3.3980,COMPLETE,ce,,0.0005,0.1,0.01,0.01198566530968716,0.2,0.0
13,3.3979,COMPLETE,ce,,0.0005,0.1,0.01,0.011559177169306602,0.2,0.0
14,inf,COMPLETE,ce,,0.0005,0.1,0.01,0.01000240941746188,0.2,0.0
15,inf,FAIL,ce,,0.0005,0.1,0.01,0.010032985712495269,0.2,0.0
16,inf,FAIL,ce,,0.0005,0.1,0.01,0.011563172386865111,0.2,0.0
17,3.3988,COMPLETE,ce,,0.0005,0.1,0.01,0.010052964813840664,0.2,0.0
18,3.3988,COMPLETE,ce,,0.0005,0.1,0.01,0.01842952267737053,0.3,0.0
19,3.3986,COMPLETE,ce,,0.0005,0.1,0.01,0.03841386292818111,0.2,0.0
20,3.3988,COMPLETE,ce,,0.0005,0.1,0.01,0.015338006576135368,0.1,0.0
21,3.6173,PRUNED,ce,,0.0005,0.1,0.01,0.13031644785125787,0.3,0.05
22,3.7285,PRUNED,ce,,0.0003,0.1,0.01,0.028746433150826096,0.2,0.05
23,4.0267,PRUNED,ce,,0.0001,0.05,0.01,0.015041450990383063,0.1,0.0
24,3.5365,PRUNED,ce,,0.0005,0.1,0.01,0.5898700079082678,0.3,0.0
25,3.3989,PRUNED,ce,,0.0005,0.1,0.001,0.02320540877119109,0.2,0.0
26,3.5936,PRUNED,ce,,0.0005,0.1,0.001,0.010888576643918589,0.2,0.0
