family,variable,value,rank_ic_front,rank_ic_back,rank_ic_eval,da_front,da_back,da_eval,mape_front,mape_back,mape_eval,amp_ratio_eval,collapse_eval,verdict,note
representation,BERT表示,T2,0.38844,0.41093,0.0817,,,,,,,,,baseline,
representation,BERT表示,T1,0.38533,0.40682,0.08328,,,,,,,,,eval-overfit,T1 只在 eval 胜、calib 前后两半均 T2 胜
fusion,融合方式,z_sum,0.38844,0.41093,0.0817,,,,,,,,,baseline,
fusion,融合方式,rank_sum,0.40319,0.42772,0.08011,,,,,,,,,negative,
fusion,融合方式,adaptive_w=0.10,,,0.06064,,,,,,,,,negative,front 拟合 w 在 eval 漂移（红线二）
magnitude_source,幅度源,med3,,,0.0817,,,0.5193,,,0.0275,0.762,0.269,baseline,
magnitude_source,幅度源,post_std,,,0.0817,,,0.5193,,,0.0301,1.01,0.279,pass,
magnitude_source,幅度源,post_median,,,0.0817,,,0.5193,,,0.0244,0.441,0.426,negative,期望型量收缩
magnitude_source,幅度源,bert_e,,,0.0817,,,0.5193,,,0.0231,0.306,0.463,negative,期望型量收缩
boundary,方向边界,q_d,0.38844,0.41093,0.0817,0.6285,0.6409,0.5193,0.0182,0.018,0.0295,0.962,0.241,baseline,零参数市场自适应
boundary,方向边界,iso_fixed,0.38844,0.41093,0.0817,0.6068,0.6,0.5176,0.019,0.02,0.0299,0.96,0.235,negative,
boundary,方向边界,f_sign,0.38844,0.41093,0.0817,0.6056,0.5992,0.5176,0.019,0.0201,0.0299,0.96,0.236,negative,
lambda,边界混合λ,0.0,0.38844,0.41093,0.0817,0.6068,0.6,0.5176,0.019,0.02,0.0299,0.96,0.235,,
lambda,边界混合λ,0.25,0.38844,0.41093,0.0817,0.6251,0.6351,0.5191,0.0182,0.0182,0.0295,0.961,0.235,,
lambda,边界混合λ,0.3,0.38844,0.41093,0.0817,0.6285,0.6409,0.5193,0.0182,0.018,0.0295,0.962,0.241,baseline,
lambda,边界混合λ,0.5,0.38844,0.41093,0.0817,0.6349,0.6609,0.52,0.018,0.0173,0.0294,0.965,0.27,,
lambda,边界混合λ,0.75,0.38844,0.41093,0.0817,0.6377,0.6774,0.5204,0.0181,0.017,0.0293,0.969,0.318,,
lambda,边界混合λ,1.0,0.38844,0.41093,0.0817,0.6325,0.6814,0.5201,0.0183,0.0171,0.0293,0.969,0.361,,
tail,尾部分数,0.05,0.38844,0.41093,0.0817,0.6285,0.6409,0.5193,0.0183,0.0181,0.0297,0.972,0.24,,
tail,尾部分数,0.08,0.38844,0.41093,0.0817,0.6285,0.6409,0.5193,0.0182,0.018,0.0296,0.965,0.241,,
tail,尾部分数,0.1,0.38844,0.41093,0.0817,0.6285,0.6409,0.5193,0.0182,0.018,0.0295,0.962,0.241,baseline,
abstention,弃权信号,|F|,,,0.13751,,,,,,,,,baseline,
abstention,弃权信号,P_up_offset,,,0.09783,,,,,,,,,negative,
abstention,弃权信号,head_disagree,,,0.128,,,,,,,,,negative,
strategy,coverage,0.2,,,5.00806,,,,,,,,,,Sharpe@10bp
strategy,coverage,0.05,,,8.40695,,,,,,,,,,Sharpe@10bp
strategy,coverage,0.02,,,9.31455,,,,,,,,,,Sharpe@10bp
strategy,coverage,0.01,,,8.94628,,,,,,,,,,Sharpe@10bp
strategy,rebalance,daily_2%,,,9.31455,,,,,,,,,,日频基准
magnitude_source,幅度源,isotonic(F),,,0.08169,,,0.5176,,,0.0229,0.229,0.646,baseline,期望型量坍缩 AR 0.23
